Total Households Serviced,Single Family Dwellings,Multi-Family Dwellings,User Pay Waste Collection (Pay-As-You-Throw),Full User Pay,Partial User Pay,Bag Limit Program for Garbage Collection,Program Code,Municipal Group,Single Stream,Residential Collection Costs,Residential Processing Costs,Residential Depot/Transfer Costs,Residential Promotion & Education Costs,Interest on Municipal  Capital,Administration Costs,Total Gross Revenue,Year,TOTAL Reported and/or Calculated Marketed Tonnes,operation cost,Program efficiency,change of Households Serviced,change of Marketed Tonnes,Quadrant
324,52,52,False,False,False,False,986,6,True,41717.77,0.0,0.0,565.0,0.0,1279.78,0.0,2019,7.819429887945913,42997.549999999996,0.0011706210785605762,0.0,0.0,4
842,26,26,False,False,False,False,988,6,False,93283.93,7480.8,0.0,19491.61,6270.8,6176.74,91.0,2019,133.20495744908894,106941.47,0.003131627443482243,0.0,0.0,4
2923,52,52,True,False,True,True,989,6,True,160743.69,81227.77,32358.36,8329.48,5943.94,12283.63,37627.469999999994,2019,326.70423415609685,286613.45,0.0034095355449629437,0.0,0.0,4
2301,52,0,True,True,False,False,39,7,True,72407.71,0.0,51741.34,842.82,2227.34,4762.22,1501.53,2019,314.39,128911.27,0.006597840070950543,0.0,0.0,4
3132,26,0,True,True,False,False,59,7,True,127416.56,0.0,31884.91,10767.45,347.45,5972.49,0.0,2019,199.24752698257853,165273.96,0.004779725035426869,0.0,0.0,4
1494,26,0,True,True,False,False,128,7,True,44271.6,0.0,46222.57,256.2,0.0,3457.26,265.42,2019,124.30075709261769,93951.43,0.004586789302367806,0.0,0.0,4
3057,26,26,False,False,False,False,152,7,True,140083.07,0.0,40938.869999999995,13856.82,0.0,6513.83,0.0,2019,416.02,187535.77,0.00601340851516963,0.0,0.0,4
7074,52,0,True,False,True,True,162,7,False,349179.16,0.0,40635.270000000004,5085.0,32.88,12044.15,20849.92,2019,817.5799999999999,401858.58,0.005984452330807844,0.0,0.0,4
5150,52,52,True,False,True,False,166,7,False,333708.08,102285.06,13597.19,5130.97,0.0,14016.2,69372.91,2019,812.3906,463606.53,0.004412010271787663,0.0,0.0,4
2994,26,26,False,False,False,True,192,7,False,56248.19,22271.26,48033.52,545.91,0.0,4784.56,15209.029999999999,2019,176.93,131337.53,0.00554163340149599,0.0,0.0,4
7703,52,52,True,True,False,True,205,7,False,218996.21,126796.69,33158.0,4113.26,5055.16,16870.03,12086.56,2019,569.8386809515304,395820.93000000005,0.005293064144860969,0.0,0.0,4
5430,26,0,True,False,True,True,212,7,True,241249.35,0.0,0.0,4177.8,0.0,7446.37,851.0,2019,406.16654869306086,248695.72,0.005971503344854235,0.0,0.0,4
6172,52,52,True,True,False,True,216,7,False,304162.14,0.0,0.0,9072.52,0.0,9578.49,665.0,2019,734.3659375253067,313740.63,0.0067857593954653425,0.0,0.0,4
6076,52,0,True,False,True,False,229,7,False,412632.16,92343.0,0.0,0.0,0.0,15149.25,81188.48,2019,828.4599999999999,520124.41,0.004313575647384402,0.0,0.0,4
7121,26,26,True,True,False,True,236,7,False,410635.92,141343.92,66405.42,2373.71,539.21,19711.38,131330.90000000002,2019,1063.22,638096.64,0.004312167318916515,0.0,0.0,4
397,52,52,True,True,False,True,238,7,False,22770.899999999998,0.0,11966.92,36.0,0.0,1092.54,24.0,2019,59.944851964987485,35830.36,0.0043054646489684,0.0,0.0,4
19615,26,26,True,True,False,True,239,7,False,874925.62,759663.44,36569.73,47889.68,33800.84,70143.95,204609.35,2019,2925.25,1741302.74,0.004350121297307125,0.0,0.0,4
10862,52,52,False,False,False,True,249,7,True,537757.36,98625.55,0.0,3005.21,10221.19,29977.48,0.0,2019,1034.130169477993,666360.39,0.005029598637453681,0.0,0.0,4
4658,52,52,False,False,False,True,271,7,False,196889.09,554372.69,0.0,20419.13,19094.3,35634.83,100875.81000000001,2019,759.3039999999999,786896.6099999999,0.0023899560337228972,0.0,0.0,4
6185,26,26,False,False,False,True,275,7,True,259853.96,129380.36,0.0,3289.22,0.0,11987.98,70724.68,2019,690.47,401222.3,0.005150592554504103,0.0,0.0,4
1448,52,52,True,True,False,False,282,7,True,16254.54,0.0,39308.6,477.0,0.0,2476.92,0.0,2019,110.63436611728882,58040.06,0.0068960667117561585,0.0,0.0,4
1344,52,52,True,False,True,False,287,7,True,34163.61,0.0,82345.16,0.0,1008.23,5192.58,1002.5,2019,159.07256423396998,121701.35,0.003799285057350874,0.0,0.0,4
2735,26,26,True,False,True,False,290,7,True,94084.13,21461.0,0.0,2775.5,0.0,5486.81,4228.57,2019,274.8776164213059,121031.94,0.007163880929804726,0.0,0.0,4
7043,52,52,True,False,True,False,294,7,False,561529.71,0.0,0.0,4532.6,0.0,17393.75,1414.0,2019,1039.1314711563653,578923.46,0.004672969475714368,0.0,0.0,4
10557,52,52,True,False,True,False,296,7,False,560266.68,232653.26,44536.18,16265.22,0.0,26827.67,140281.66999999998,2019,799.83,864283.7900000002,0.003362116344126956,0.0,0.0,4
5602,26,52,True,False,True,False,301,7,True,194438.27,42723.38,8781.16,10981.29,3717.65,12177.62,512.72,2019,570.3041310256192,258120.43,0.006924723405422901,0.0,0.0,4
4808,26,26,False,False,False,True,321,7,False,333851.4,138096.2,0.0,1882.0,1566.51,23769.81,29784.109999999997,2019,367.12999999999994,495717.41000000003,0.002680143173465993,0.0,0.0,4
3670,26,26,True,False,True,False,325,7,False,162023.5,0.0,0.0,1017.0,0.0,4911.56,0.0,2019,334.47147980231034,166935.06,0.006636896123298446,0.0,0.0,4
1772,26,0,False,False,False,True,346,7,False,109319.13,27979.51,135.04,174.75,0.0,4131.75,18678.99,2019,223.88000000000002,141565.43000000002,0.004449203758790082,0.0,0.0,4
2581,52,52,False,False,False,False,358,7,False,192458.31,49637.53,0.0,0.0,0.0,7262.88,33885.05,2019,394.7099999999999,249358.72,0.004047701772934568,0.0,0.0,4
9845,52,52,True,False,True,False,361,7,False,886718.71,0.0,30999.62,4740.35,0.0,28388.56,8401.06,2019,1529.9173871203998,946106.89,0.004102056568879688,0.0,0.0,4
5118,52,52,True,False,True,True,376,7,True,224086.0,58236.0,350.0,1100.0,0.0,8542.16,428.0,2019,640.1858828169917,291214.16,0.006215709357967878,0.0,0.0,4
1846,26,26,True,False,True,False,382,7,False,70149.47,23445.5,0.0,5799.469999999999,0.0,3097.82,19148.469999999998,2019,165.19,96692.79000000001,0.005711019371454172,0.0,0.0,4
7370,52,0,True,True,False,True,389,7,False,89137.83,0.0,69124.6,6061.17,0.0,6433.42,807.5,2019,867.9990100809814,164695.85,0.015357152710928145,0.0,0.0,4
3266,52,52,True,True,False,True,434,7,True,126763.73,0.0,0.0,3430.5600000000004,0.0,3974.44,0.0,2019,253.476329935198,130738.17,0.00695944158260036,0.0,0.0,4
